n,eta,r_c,boundary,n_max
0.8924103419516263,0.5,,0.5,0
0.9007506255212677,0.5,,0.5,0
0.9090909090909091,0.5,,0.5,0
0.9174311926605504,0.5,,0.5,0
0.9257714762301917,0.5,,0.5,0
0.9341117597998332,0.5,,0.5,0
0.9424520433694745,0.5,,0.5,0
0.9507923269391159,0.5,,0.5,0
0.9591326105087573,0.5,,0.5,0
0.9674728940783986,0.5,,0.5,0
0.97581317764804,0.5,,0.5,0
0.9841534612176813,0.5,,0.5,0
0.9924937447873228,0.5,,0.5,0
1.0008340283569641,0.5,,0.5,0
1.0091743119266054,0.5,,0.5,0
1.0175145954962468,0.5,,0.5,0
1.0258548790658881,0.5,,0.5,0
1.0341951626355295,0.5,,0.5,0
1.042535446205171,0.5,,0.5,0
1.0508757297748124,0.5,,0.5,0
1.0592160133444537,0.5,,0.5,0
1.067556296914095,0.5,,0.5,0
1.0758965804837364,0.5,,0.5,0
1.0842368640533777,0.5,,0.5,0
1.092577147623019,0.5,,0.5,0
1.1009174311926606,0.5,,0.5,0
1.109257714762302,0.5,,0.5,0
1.1175979983319433,0.5,,0.5,0
1.1259382819015846,0.5,,0.5,0
1.134278565471226,0.5,,0.5,0
1.1426188490408673,0.5,,0.5,0
1.1509591326105086,0.5,,0.5,0
1.15929941618015,0.5,,0.5,0
1.1676396997497915,0.5,,0.5,0
1.1759799833194329,0.5,,0.5,0
1.1843202668890742,0.5,,0.5,0
1.1926605504587156,0.5,,0.5,0
1.201000834028357,0.5,,0.5,0
1.2093411175979982,0.5,,0.5,0
1.2176814011676396,0.5,,0.5,0
1.2260216847372811,0.5,,0.5,0
1.2343619683069225,0.5,,0.5,0
1.2427022518765638,0.5,,0.5,0
1.2510425354462051,0.5,,0.5,0
1.2593828190158465,0.5,,0.5,0
1.2677231025854878,0.5,,0.5,0
1.2760633861551292,0.5,,0.5,0
1.2844036697247705,0.5,,0.5,0
1.292743953294412,0.5,,0.5,0
1.3010842368640534,0.5,,0.5,0
1.3094245204336947,0.5,,0.5,0
1.317764804003336,0.5,,0.5,0
1.3261050875729774,0.5,,0.5,0
1.3344453711426187,0.5,,0.5,0
1.34278565471226,0.5,,0.5,0
1.3511259382819016,0.5,,0.5,0
1.359466221851543,0.5,,0.5,0
1.3678065054211843,0.5,,0.5,0
1.3761467889908257,0.5,,0.5,0
1.384487072560467,0.5,,0.5,0
1.3928273561301083,0.5,,0.5,0
1.4011676396997497,0.5,,0.5,0
1.409507923269391,0.5,,0.5,0
1.4178482068390326,0.5,,0.5,0
1.426188490408674,0.5,,0.5,0
1.4345287739783152,0.5,,0.5,0
1.4428690575479566,0.5,,0.5,0
1.451209341117598,0.5,,0.5,0
1.4595496246872393,0.5,,0.5,0
1.4678899082568806,0.5,,0.5,0
1.4762301918265222,0.5,,0.5,0
1.4845704753961635,0.5,,0.5,0
1.4929107589658048,0.5,,0.5,0
1.5012510425354462,0.5,,0.5,0
1.5095913261050875,0.5,,0.5,0
1.5179316096747288,0.5,,0.5,0
1.5262718932443702,0.5,,0.5,0
1.5346121768140115,0.5,,0.5,0
1.542952460383653,0.5,,0.5,0
1.5512927439532944,0.5,,0.5,0
1.5596330275229358,0.5,,0.5,0
1.567973311092577,0.5,,0.5,0
1.5763135946622184,0.5,,0.5,0
1.5846538782318598,0.5,,0.5,0
1.592994161801501,0.5,,0.5,0
1.6013344453711427,0.5,,0.5,0
